"nama_lengkap","gender","age","length_service","absent_hour","distribution_centers_id","distribution_centers_name","latitude","longitude","jumlah_produk"
"Abbate Laurie","F",39.89188323,1.766600113,51.5270002,1,"Memphis TN",35.1174,-89.9711,3891
"Abbott Edward","M",54.24806682,3.159910592,131.7836282,1,"Memphis TN",35.1174,-89.9711,3891
"Abbott George","M",38.10977405,6.466156286,0,1,"Memphis TN",35.1174,-89.9711,3891
"Abbott Monroe","M",62.25049073,4.210838124,163.8682021,1,"Memphis TN",35.1174,-89.9711,3891
"Adamek Adam","M",51.09250968,0.330490734,113.7179294,1,"Memphis TN",35.1174,-89.9711,3891
"Adams Allegra","F",53.01589958,5.742959344,174.0971093,1,"Memphis TN",35.1174,-89.9711,3891
"Adams Gregory","M",32.12486046,4.158933534,0,1,"Memphis TN",35.1174,-89.9711,3891
"Adan Joseph","M",36.36691048,2.218496065,0.303980077,1,"Memphis TN",35.1174,-89.9711,3891
"Adolph Roger","M",42.52130644,3.9796129,42.14236855,1,"Memphis TN",35.1174,-89.9711,3891
"Adorno Robert","M",30.61769644,5.439549939,16.81946984,1,"Memphis TN",35.1174,-89.9711,3891
"Aldridge Arlene","F",30.5012917,3.563761327,27.08492361,1,"Memphis TN",35.1174,-89.9711,3891
"Alexander Lorraine","F",32.69666964,4.168768011,0.78204329,1,"Memphis TN",35.1174,-89.9711,3891
"Alexander Sarah","F",53.8894244,5.409040791,111.6737578,1,"Memphis TN",35.1174,-89.9711,3891
"Allen Devon","M",49.40034753,4.809700994,106.2001379,1,"Memphis TN",35.1174,-89.9711,3891
"Alvarado Erica","F",28.22209548,3.640241404,0,1,"Memphis TN",35.1174,-89.9711,3891
"Anaya Raymond","M",65.08544718,6.608769352,168.2968241,1,"Memphis TN",35.1174,-89.9711,3891
"Anderson Shelia","F",40.11655818,3.858772807,49.49884732,1,"Memphis TN",35.1174,-89.9711,3891
"Anderson Shirley","F",29.92595685,2.242531527,0,1,"Memphis TN",35.1174,-89.9711,3891
"Anthony Mary","F",43.14054939,4.561994201,84.71145991,1,"Memphis TN",35.1174,-89.9711,3891
"Apodaca Lisa","F",29.7471774,6.232481203,0,1,"Memphis TN",35.1174,-89.9711,3891
"Archer Renee","F",39.147491,21.147491,88.62749636,1,"Memphis TN",35.1174,-89.9711,3891
"Armstrong Benjamin","M",46.30741353,3.573605824,38.38328087,1,"Memphis TN",35.1174,-89.9711,3891
"Armstrong Kara","F",23.87854228,4.689810018,0,1,"Memphis TN",35.1174,-89.9711,3891
"Arnold Melaine","F",56.51480532,3.053035186,151.7079655,1,"Memphis TN",35.1174,-89.9711,3891
"Arriaga Connie","F",44.77414335,5.843046493,88.50419969,1,"Memphis TN",35.1174,-89.9711,3891
"Arrington Sandra","F",45.670498,4.141667037,105.1509084,1,"Memphis TN",35.1174,-89.9711,3891
"Arroyo Barry","M",33.76283395,4.358604564,0,1,"Memphis TN",35.1174,-89.9711,3891
"Arroyo Mohammad","M",36.16256867,5.862791669,30.91676978,1,"Memphis TN",35.1174,-89.9711,3891
"Avery Norman","M",19.76295284,2.970641917,0,1,"Memphis TN",35.1174,-89.9711,3891
"Ayala Robert","M",36.91413523,4.045726167,47.11299548,1,"Memphis TN",35.1174,-89.9711,3891
"Ayers Ruby","F",53.99857233,6.438958968,134.2106083,1,"Memphis TN",35.1174,-89.9711,3891
"Baca Elliot","M",49.91833405,3.384680447,69.80071068,1,"Memphis TN",35.1174,-89.9711,3891
"Bains Kelly","M",39.65506384,4.012290354,44.00717881,1,"Memphis TN",35.1174,-89.9711,3891
"Baker Julio","M",25.91390753,6.122011557,0,1,"Memphis TN",35.1174,-89.9711,3891
"Baker Letha","F",51.62345215,6.711859949,111.8517578,1,"Memphis TN",35.1174,-89.9711,3891
"Baker Lisa","F",54.40879637,5.001516926,107.0642925,1,"Memphis TN",35.1174,-89.9711,3891
"Baker Russell","M",37.96776581,2.572062535,28.92930631,1,"Memphis TN",35.1174,-89.9711,3891
"Baldwin Linda","F",37.27159854,2.467638829,46.06789006,1,"Memphis TN",35.1174,-89.9711,3891
"Banner Roger","M",53.90842137,3.856239311,118.1591728,1,"Memphis TN",35.1174,-89.9711,3891
"Bannister Juanita","F",45.31735419,5.230113872,92.54308018,1,"Memphis TN",35.1174,-89.9711,3891
"Barbour Charlene","F",60.03594161,1.678067056,156.4061567,1,"Memphis TN",35.1174,-89.9711,3891
"Barnes Joy","F",30.96696368,5.844760238,6.948547167,1,"Memphis TN",35.1174,-89.9711,3891
"Barragan Beverly","F",56.19959195,2.472682293,101.5907855,1,"Memphis TN",35.1174,-89.9711,3891
"Barrows Sherry","F",42.58609794,5.299937822,84.621191,1,"Memphis TN",35.1174,-89.9711,3891
"Bates Chad","M",52.94847892,4.559449979,123.9123003,1,"Memphis TN",35.1174,-89.9711,3891
"Batts Jessie","M",34.90059037,2.200603025,21.51754142,1,"Memphis TN",35.1174,-89.9711,3891
"Baum Stephanie","F",45.5594,14.410268,69.47820963,1,"Memphis TN",35.1174,-89.9711,3891
"Beattie Gene","M",45.57691785,5.529400418,63.65548086,1,"Memphis TN",35.1174,-89.9711,3891
"Beaumont James","M",34.17055715,4.791266166,41.43047366,1,"Memphis TN",35.1174,-89.9711,3891
"Beery Benito","M",40.66819872,3.939877332,34.28763277,1,"Memphis TN",35.1174,-89.9711,3891
